"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 06:03:35 UTC 2024","Wed May 22 06:03:37 UTC 2024","1829","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"failed","Wed May 22 06:27:46 UTC 2024","Wed May 22 06:28:04 UTC 2024","18626","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed May 22 06:39:05 UTC 2024","Wed May 22 06:39:15 UTC 2024","10235","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"skipped","Wed May 22 08:22:09 UTC 2024","Wed May 22 08:22:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed May 22 06:05:25 UTC 2024","Wed May 22 06:05:41 UTC 2024","15479","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed May 22 06:50:44 UTC 2024","Wed May 22 06:50:54 UTC 2024","9599","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed May 22 06:50:30 UTC 2024","Wed May 22 06:50:44 UTC 2024","13844","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed May 22 06:38:44 UTC 2024","Wed May 22 06:38:46 UTC 2024","1438","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed May 22 06:38:30 UTC 2024","Wed May 22 06:38:32 UTC 2024","1959","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed May 22 06:03:37 UTC 2024","Wed May 22 06:03:57 UTC 2024","19320","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Wed May 22 06:23:56 UTC 2024","Wed May 22 06:23:56 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed May 22 06:05:42 UTC 2024","Wed May 22 06:05:47 UTC 2024","4896","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed May 22 06:43:53 UTC 2024","Wed May 22 06:44:10 UTC 2024","16132","","18. Check Admin header","","","","1. Log in using manager login",""
"skipped","Wed May 22 06:23:56 UTC 2024","Wed May 22 06:23:56 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"skipped","Wed May 22 08:22:09 UTC 2024","Wed May 22 08:22:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed May 22 06:05:41 UTC 2024","Wed May 22 06:05:42 UTC 2024","1475","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Wed May 22 06:50:54 UTC 2024","Wed May 22 06:50:56 UTC 2024","2408","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed May 22 06:38:32 UTC 2024","Wed May 22 06:38:35 UTC 2024","3508","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed May 22 06:38:25 UTC 2024","Wed May 22 06:38:27 UTC 2024","2330","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"broken","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed May 22 06:38:35 UTC 2024","Wed May 22 06:38:44 UTC 2024","9116","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Wed May 22 08:22:09 UTC 2024","Wed May 22 08:22:09 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed May 22 07:25:36 UTC 2024","Wed May 22 07:25:40 UTC 2024","4167","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed May 22 06:03:37 UTC 2024","Wed May 22 06:03:37 UTC 2024","214","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed May 22 06:03:19 UTC 2024","Wed May 22 06:03:35 UTC 2024","16183","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed May 22 06:05:47 UTC 2024","Wed May 22 06:05:49 UTC 2024","1417","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Wed May 22 08:22:09 UTC 2024","Wed May 22 08:22:09 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"skipped","Wed May 22 06:23:56 UTC 2024","Wed May 22 06:23:56 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Wed May 22 06:23:56 UTC 2024","Wed May 22 06:23:56 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed May 22 05:42:24 UTC 2024","Wed May 22 05:43:28 UTC 2024","64054","","8. Sign Up new user","","","","1. Create a new user",""
"skipped","Wed May 22 08:22:09 UTC 2024","Wed May 22 08:22:09 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed May 22 06:38:27 UTC 2024","Wed May 22 06:38:30 UTC 2024","2472","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed May 22 06:38:15 UTC 2024","Wed May 22 06:38:25 UTC 2024","9417","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed May 22 06:44:10 UTC 2024","Wed May 22 06:48:19 UTC 2024","249322","","18. Check Admin header","","","","2. Check Navbar",""
"broken","Wed May 22 08:22:09 UTC 2024","Wed May 22 08:22:09 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed May 22 07:25:40 UTC 2024","Wed May 22 07:26:01 UTC 2024","20323","","21. Forgot password function","","","","2. Reset password",""
"failed","Wed May 22 06:39:15 UTC 2024","Wed May 22 06:41:47 UTC 2024","151711","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed May 22 05:44:55 UTC 2024","Wed May 22 05:45:13 UTC 2024","18213","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed May 22 06:38:46 UTC 2024","Wed May 22 06:39:05 UTC 2024","18629","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Wed May 22 06:23:56 UTC 2024","Wed May 22 06:23:56 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Wed May 22 06:01:16 UTC 2024","Wed May 22 06:01:16 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed May 22 06:50:56 UTC 2024","Wed May 22 06:51:01 UTC 2024","4236","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"broken","Wed May 22 06:23:56 UTC 2024","Wed May 22 06:23:56 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
